+-----+------------+------------------------------------------------------------------+-------------------------------------------+----------+
| ID  |    CODE    |                               NAME                               |                  COURSE                   | SEMESTER |
| 459 | 24COMGC5L4 | Auditing                                                         | BCOM - Bachelor of Commerce               | 5        |
| 460 | 24COMGS5P1 | Accounting Software (Tally) Lab                                  | BCOM - Bachelor of Commerce               | 5        |
| 453 | 24ESCOMM5L | Environmental Science                                            | BCOM - Bachelor of Commerce               | 5        |
| 384 | 24BSLGEN1L | Basic English                                                    | BSc - Bachelor of Science                 | 1        |
| 386 | 24BSLGHN1L | Gadya Saurabh Aur Anuvad (Hindi)                                 | BSc - Bachelor of Science                 | 1        |
| 387 | 24BSLGKA1L | ವಿಜ್ಞಾನ ಸೌರಭ (Kannada)                                           | BSc - Bachelor of Science                 | 1        |
| 385 | 24CVCOMM1L | Constitutional Values                                            | BSc - Bachelor of Science                 | 1        |
| 388 | 24MJBOTN1L | Microbial World                                                  | BSc - Bachelor of Science                 | 1        |
| 391 | 24MJBOTN1P | Microbial World Lab                                              | BSc - Bachelor of Science                 | 1        |
| 389 | 24MJCHEM1L | Chemistry-1                                                      | BSc - Bachelor of Science                 | 1        |
| 392 | 24MJCHEM1P | Chemistry Laboratory Course-I                                    | BSc - Bachelor of Science                 | 1        |
| 398 | 24MJCOMP1L | Programming in C                                                 | BSc - Bachelor of Science                 | 1        |
| 399 | 24MJCOMP1P | Programming in C Lab                                             | BSc - Bachelor of Science                 | 1        |
| 394 | 24MJMATH1L | Differential calculus and Algebra-I                              | BSc - Bachelor of Science                 | 1        |
| 396 | 24MJMATH1P | Differential calculus and Algebra-I Lab                          | BSc - Bachelor of Science                 | 1        |
| 395 | 24MJPHYS1L | Mechanics and Properties of Matter                               | BSc - Bachelor of Science                 | 1        |
| 397 | 24MJPHYS1P | Mechanics and Properties of Matter -Lab                          | BSc - Bachelor of Science                 | 1        |
| 390 | 24MJZOOL1L | Biology of Non Chordate and Chordate                             | BSc - Bachelor of Science                 | 1        |
| 393 | 24MJZOOL1P | Biology of Non Chordate and Chordate - Lab                       | BSc - Bachelor of Science                 | 1        |
| 400 | 24BSLGEN3L | Basic English                                                    | BSc - Bachelor of Science                 | 3        |
| 401 | 24BSLGHN3L | Hindi                                                            | BSc - Bachelor of Science                 | 3        |
| 402 | 24BSLGKA3L | ವಿಜ್ಞಾನ ಸೌರಭ - 2 (Kannada)                                       | BSc - Bachelor of Science                 | 3        |
| 404 | 24MJBOTN3L | Plant Histology, Anatomy And Reproductive Biology                | BSc - Bachelor of Science                 | 3        |
| 407 | 24MJBOTN3P | Plant Histology, Anatomy and Reproductive Biology Lab            | BSc - Bachelor of Science                 | 3        |
| 409 | 24MJBOTN3S | Phytochemistry and Pharmacognostic studies                       | BSc - Bachelor of Science                 | 3        |
| 403 | 24MJCHEM3L | Chemistry-III                                                    | BSc - Bachelor of Science                 | 3        |
| 406 | 24MJCHEM3P | Chemistry Laboratory Course-III                                  | BSc - Bachelor of Science                 | 3        |
| 415 | 24MJCOMP3L | Object Oriented Programming Using Java                           | BSc - Bachelor of Science                 | 3        |
| 416 | 24MJCOMP3P | Object Oriented Programming Using Java (LAB)                     | BSc - Bachelor of Science                 | 3        |
| 411 | 24MJMATH3L | Series and Sequences and Vector Calculus                         | BSc - Bachelor of Science                 | 3        |
| 413 | 24MJMATH3P | Series and Sequences and Vector Calculus Lab                     | BSc - Bachelor of Science                 | 3        |
| 410 | 24MJPHYS3L | Electricity and Magnetism                                        | BSc - Bachelor of Science                 | 3        |
| 412 | 24MJPHYS3P | Electricity and Magnetism - Lab                                  | BSc - Bachelor of Science                 | 3        |
| 414 | 24MJPHYS3S | Renewable energy and energy harvesting                           | BSc - Bachelor of Science                 | 3        |
| 405 | 24MJZOOL3L | Biochemistry, Physiology and Comparative anatomy                 | BSc - Bachelor of Science                 | 3        |
| 408 | 24MJZOOL3P | Biochemistry, Physiology and Comparative anatomy Lab             | BSc - Bachelor of Science                 | 3        |
| 461 | 24BSLGEN5L | Basic English                                                    | BSc - Bachelor of Science                 | 5        |
| 463 | 24BSLGHN5L | Hindi                                                            | BSc - Bachelor of Science                 | 5        |
| 464 | 24BSLGKA5L | ವಿಜ್ಞಾನ ಸೌರಭ - 3 (Kannada)                                       | BSc - Bachelor of Science                 | 5        |
| 462 | 24CVCOMM5L | Constitutional Values                                            | BSc - Bachelor of Science                 | 5        |
| 466 | 24MJBOTN5L | Plant Physiology and Ecology                                     | BSc - Bachelor of Science                 | 5        |
| 469 | 24MJBOTN5P | Plant Physiology and Ecology Lab                                 | BSc - Bachelor of Science                 | 5        |
| 471 | 24MJBOTN5S | Biotechnology SEC                                                | BSc - Bachelor of Science                 | 5        |
| 465 | 24MJCHEM5L | Chemistry-V                                                      | BSc - Bachelor of Science                 | 5        |
| 468 | 24MJCHEM5P | Chemistry Lab-V                                                  | BSc - Bachelor of Science                 | 5        |
| 477 | 24MJCOMP5L | Database Management Systems                                      | BSc - Bachelor of Science                 | 5        |
| 478 | 24MJCOMP5P | DBMS Lab                                                         | BSc - Bachelor of Science                 | 5        |
| 473 | 24MJMATH5L | Linear Algebra and Differential Equations                        | BSc - Bachelor of Science                 | 5        |
| 475 | 24MJMATH5P | Linear Algebra and DE Lab                                        | BSc - Bachelor of Science                 | 5        |
| 472 | 24MJPHYS5L | Quantum Mechanics                                                | BSc - Bachelor of Science                 | 5        |
| 474 | 24MJPHYS5P | Quantum Mechanics Lab                                            | BSc - Bachelor of Science                 | 5        |
| 476 | 24MJPHYS5S | Renewable Energy SEC                                             | BSc - Bachelor of Science                 | 5        |
| 467 | 24MJZOOL5L | Animal Physiology and Genetics                                   | BSc - Bachelor of Science                 | 5        |
| 470 | 24MJZOOL5P | Animal Physiology and Genetics Lab                               | BSc - Bachelor of Science                 | 5        |
+-----+------------+------------------------------------------------------------------+-------------------------------------------+----------+
